id,label_manual
code:fastapi/applications.py:FastAPI:50,1
code:fastapi/applications.py:__call__:1129,1
code:fastapi/applications.py:__init__:66,1
code:fastapi/applications.py:add_api_route:1134,1
code:fastapi/applications.py:add_api_websocket_route:1253,1
code:fastapi/applications.py:api_route:1193,1
code:fastapi/applications.py:build_middleware_stack:995,1
code:fastapi/applications.py:decorator:1222,1
code:fastapi/applications.py:decorator:1322,1
code:fastapi/applications.py:decorator:4540,1
code:fastapi/applications.py:decorator:4615,1
code:fastapi/applications.py:decorator:4662,1
code:fastapi/applications.py:delete:2667,1
code:fastapi/applications.py:exception_handler:4621,1
code:fastapi/applications.py:get:1538,1
code:fastapi/applications.py:head:3413,1
code:fastapi/applications.py:include_router:1333,1
code:fastapi/applications.py:middleware:4575,1
code:fastapi/applications.py:on_event:4546,1
code:fastapi/applications.py:openapi:1043,1
code:fastapi/applications.py:openapi:1081,1
code:fastapi/applications.py:options:3040,1
code:fastapi/applications.py:patch:3786,1
code:fastapi/applications.py:post:2289,1
code:fastapi/applications.py:put:1911,1
code:fastapi/applications.py:redoc_html:1120,1
code:fastapi/applications.py:setup:1076,1
code:fastapi/applications.py:swagger_ui_html:1092,1
code:fastapi/applications.py:swagger_ui_redirect:1110,1
code:fastapi/applications.py:trace:4164,1
code:fastapi/applications.py:websocket:1268,1
code:fastapi/applications.py:websocket_route:4537,1
code:fastapi/encoders.py:decimal_encoder:36,1
code:fastapi/encoders.py:generate_encoders_by_class_tuples:87,1
code:fastapi/encoders.py:isoformat:30,1
code:fastapi/encoders.py:jsonable_encoder:101,1
code:fastapi/exception_handlers.py:http_exception_handler:10,1
code:fastapi/exception_handlers.py:request_validation_exception_handler:19,1
code:fastapi/exception_handlers.py:websocket_request_validation_exception_handler:28,1
code:fastapi/exceptions.py:FastAPIError:142,1
code:fastapi/exceptions.py:HTTPException:8,1
code:fastapi/exceptions.py:RequestValidationError:156,1
code:fastapi/exceptions.py:ResponseValidationError:166,1
code:fastapi/exceptions.py:ValidationException:148,1
code:fastapi/exceptions.py:WebSocketException:67,1
